OSEBuildingID,DataYear,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),DefaultData,Comment,ComplianceStatus,Outlier,Latitude,Longitude,ZipCode,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUI(kBtu/sf)_diff1516,SiteEUIWN(kBtu/sf)_diff1516,SourceEUI(kBtu/sf)_diff1516,SourceEUIWN(kBtu/sf)_diff1516,SiteEnergyUse(kBtu)_diff1516,SiteEnergyUseWN(kBtu)_diff1516,SteamUse(kBtu)_diff1516,Electricity(kWh)_diff1516,Electricity(kBtu)_diff1516,NaturalGas(therms)_diff1516,NaturalGas(kBtu)_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
59,2015,small-andmid-sizedoffice,7,1910,1.0,8.0,59400,0,59400,,98.0,109.4,307.9,343.5,3915947.0,4369220.0,0.0,1147698.0,3916108.0,0.0,0.0,0.0,No,,Compliant,,47.610466,-122.33795929,98101.0,27.3,0.18,-10.700006099999996,-17.399999999999977,-37.50001219999996,-41.60000000000002,-557751.0,99795.0,0.0,-193829.875,-661567.0,1036.3671999999933,103596.0,0.8999999999999773,0.4499999999999993
60,2015,mixeduseproperty,7,1926,1.0,2.0,52549,0,52549,,297.1,316.4,522.8,537.1,15583947.0,16598244.0,0.0,1551526.0,5294026.0,102901.0,10290141.0,0.0,No,,Compliant,,47.60883331,-122.3374176,98101.0,583.41,10.67,-15.10000153,-16.50000076,-42.49999389999999,-46.80000000000001,-1334464.5,-1096996.0,0.0,-331979.75,-1132940.0,-2017.1201170000004,-201752.0,-18.61,0.04999999999999993
62,2015,hotel,7,1930,1.0,20.0,98634,10043,88591,46.0,69.7,73.8,201.1,213.8,6175812.0,6534220.0,0.0,1589324.0,5422999.0,7530.0,753040.0,0.0,No,,Compliant,,47.61229324,-122.33441925,98101.0,77.8,0.55,5.299998470000006,5.299998470000006,12.599993899999987,12.599993899999987,307927.0,307927.0,0.0,55948.8125,190769.0,1170.0800799999997,117030.0,7.549999999999997,0.2899999999999998
63,2015,hotel,7,1982,1.0,34.0,994212,146694,847518,60.0,85.9,89.3,187.3,191.6,85357952.0,88771488.0,16229832.0,13200400.0,45041634.0,240884.0,24088353.0,0.0,No,,Compliant,,47.61101988,-122.3335344,98101.0,2846.07,2.67,2.6000000000000014,-1.2000015299999944,2.4999969499999963,-1.5000015299999916,314414.5,1001554.5,0.0,-3549.9062000000267,-12168.0,3265.1601599999995,326528.0,17.26000000000002,0.19000000000000017
65,2015,hotel,7,1985,1.0,7.0,71150,0,71150,99.0,87.8,87.8,203.3,203.3,5040382.0,5040382.0,0.0,894784.0,3053131.0,19874.0,1987378.0,0.0,Yes,,Compliant,,47.60989093,-122.3414255,98101.0,126.83,1.6,4.2000030500000065,3.800001530000003,-0.9000030999999922,-2.1999939000000097,296102.5,440162.5,0.0,-52951.6875,-180800.0,4767.628909999999,476773.0,24.059999999999988,0.33000000000000007
66,2015,hotel,7,1908,1.0,7.0,122810,0,122810,99.0,41.4,50.8,65.7,75.6,5086863.0,6240104.0,0.0,382671.0,1305729.0,37812.0,3781188.0,0.0,No,,Compliant,,47.61155254,-122.3408486,98101.0,209.92,1.66,-0.09999923999999538,-0.8000007600000032,-3.6999999999999886,-3.599996900000008,-7699.0,112377.5,0.0,-55775.5,-190454.0,1825.7773400000005,182606.0,8.369999999999976,0.16000000000000014
67,2015,hotel,7,1959,1.0,5.0,113173,42546,70627,86.0,70.6,73.1,166.6,174.3,4988241.0,5160438.0,0.0,915988.0,3125480.0,18629.0,1862890.0,0.0,No,,Compliant,,47.62037281,-122.3441465,98109.0,120.73,0.95,-2.0999984700000027,-2.60000153,-3.3000000000000114,-3.1999939000000097,-186482.5,-72151.0,0.0,-14500.6875,-49610.0,-1369.6191399999989,-137007.0,-7.6200000000000045,0.05999999999999983
68,2015,hotel,7,2000,1.0,7.0,150453,34735,115718,83.0,60.8,62.6,131.7,133.4,6722886.0,6921805.0,0.0,1051118.0,3586563.0,31365.0,3136472.0,0.0,No,,Compliant,,47.6203118,-122.3428044,98109.0,191.58,1.17,-0.4999984700000013,-0.10000000000000142,-0.5999984999999981,0.799998500000001,-78393.0,-65466.5,0.0,-2141.875,-7498.0,-710.3808600000011,-71084.0,-3.8300000000000125,0.09999999999999998
69,2015,hotel,7,1997,1.0,6.0,116300,28200,88100,84.0,68.0,69.7,147.8,150.3,6014078.0,6169676.0,0.0,948984.0,3238067.0,27761.0,2776145.0,0.0,No,,Compliant,,47.62021696,-122.3432115,98109.0,170.01,1.34,2.300000760000003,-4.499996949999996,2.39999847,-5.900003049999995,127857.75,693912.5,0.0,450.0938000000024,1512.0,1263.2011700000003,126323.0,6.719999999999999,0.1599999999999997
70,2015,hotel,7,1998,1.0,6.0,155602,36744,118858,81.0,44.4,44.1,108.0,106.8,6915293.0,6855303.0,0.0,1338290.0,4566435.0,23490.0,2349046.0,0.0,No,,Compliant,,47.62050588,-122.3596901,98119.0,156.59,0.88,0.800001530000003,1.0,1.3999968999999908,2.199996900000002,60557.0,110753.0,0.0,6790.5,23070.0,374.03905999999915,37388.0,2.1499999999999773,0.10999999999999988
