OSEBuildingID,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuildings,ENERGYSTARScore,SiteEUIkBtusf,SiteEUIWNkBtusf,SourceEUIkBtusf,SourceEUIWNkBtusf,SiteEnergyUsekBtu,SiteEnergyUseWNkBtu,SteamUsekBtu,ElectricitykWh,ElectricitykBtu,NaturalGastherms,NaturalGaskBtu,OtherFuelUsekBtu,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUIkBtusf_diff1516,SiteEUIWNkBtusf_diff1516,SourceEUIkBtusf_diff1516,SourceEUIWNkBtusf_diff1516,SiteEnergyUsekBtu_diff1516,SiteEnergyUseWNkBtu_diff1516,SteamUsekBtu_diff1516,ElectricitykWh_diff1516,ElectricitykBtu_diff1516,NaturalGastherms_diff1516,NaturalGaskBtu_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
493,small-andmid-sizedoffice,7.0,1971.0,1.0,5.0,88000.0,21600.0,66400.0,77.0,44.1,49.4,138.4,155.1,3132453.0,3512299.0,0.0,918069.0,3132583.0,0.0,0.0,0.0,nan,21.84,0.1,0.0,0.0,0.0,0.0,0.0,441778.0,0.0,-697.3125,0.0,-31.429690000000846,0.0,0.0,0.05
494,medicaloffice,4.0,1988.0,1.0,4.0,196749.0,88405.0,108344.0,6.0,177.6,184.1,407.4,408.1,19236770.0,19946232.0,0.0,3357653.0,11456788.0,77805.0,7780457.0,0.0,nan,493.09,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47124.4062,0.0,-9554.949707,0.0,0.0,0.0
495,medicaloffice,4.0,1994.0,1.0,4.0,191276.0,95281.0,95995.0,16.0,97.2,97.3,295.7,295.8,9329202.0,9342579.0,0.0,2606590.0,8894054.0,4355.0,435515.0,0.0,nan,85.13,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-197881.5,0.0,0.0,0.0,0.0,0.1699999999999999
496,self-storagefacility,6.0,1946.0,1.0,2.0,111445.0,0.0,111445.0,,44.7,49.6,98.3,103.5,5318876.0,5908277.0,0.0,857784.0,2926880.0,23921.0,2392117.0,0.0,nan,147.45,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-654610.25,0.0,0.0,0.0,0.0,0.35
497,non-refrigeratedwarehouse,1.0,1997.0,1.0,4.0,98475.0,0.0,98475.0,81.0,11.0,12.3,28.2,29.6,1082531.0,1214676.0,0.0,229376.0,782663.0,2999.0,299900.0,0.0,nan,21.38,0.18,14.000003050000004,14.900001529999995,38.5,39.19999999999999,1511326.0,1687587.0,0.0,361035.0,1231582.0,2794.42188,279473.0,23.43,0.3899999999999999
498,hospital,3.0,2000.0,1.0,7.0,309535.0,150455.0,159080.0,17.0,215.8,217.6,496.6,484.1,46518024.0,46904800.0,0.0,8165321.0,27861232.0,186580.0,18657952.0,0.0,nan,1185.15,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5759.0,0.0,-802.9998780000001,0.0,0.0,0.0
499,small-andmid-sizedoffice,2.0,2008.0,1.0,3.0,76598.0,21410.0,55188.0,76.0,81.1,83.7,169.8,166.9,4476997.0,4617864.0,0.0,654779.0,2234200.0,22429.0,2242889.0,0.0,nan,134.69,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-628810.625,0.0,3955.699220000002,395532.0,6.050000000000011,0.3800000000000001
500,retailstore,5.0,1995.0,1.0,2.0,244529.0,0.0,244529.0,57.0,114.4,120.1,291.9,293.5,14583160.0,15302825.0,0.0,3069623.0,10473988.0,41096.0,4109607.0,0.0,nan,291.28,1.01,1.899996950000002,3.299999999999997,4.4999969000000135,7.000006100000007,277434.0,681321.0,0.0,49543.5,168621.0,1083.8261700000005,108390.0,6.939999999999998,0.3499999999999998
503,supermarket/grocerystore,2.0,2008.0,1.0,1.0,63225.0,0.0,63225.0,100.0,104.7,104.7,328.8,328.8,6619941.0,6619941.0,0.0,1940194.0,6620217.0,0.0,0.0,0.0,nan,46.15,0.28,49.99999389999999,49.99999389999999,82.5,82.5,5713564.0,5713564.0,0.0,479413.5,1635502.0,40778.48438,4077804.0,227.97,2.2299999999999995
504,other,1.0,1955.0,1.0,1.0,113780.0,0.0,113780.0,,31.5,38.5,60.1,67.5,3580091.0,4382121.0,0.0,431789.0,1473327.0,21068.0,2106826.0,0.0,nan,122.16,1.02,1.0,1.800003099999998,0.0,0.5000122000000147,52637.0,290020.0,0.0,-9661.25,0.0,856.0019500000017,85600.0,4.319999999999993,0.6499999999999999
