,Ridge,SVR,LR,Lasso,XGB,RFR
train_score,0.9516026847745734,0.919916363310197,0.9130575625646739,0.9468409267253743,0.9812672107586367,0.4711922497812743
test_score,0.9485999080562089,0.9361231050120814,0.941876655308584,0.9515858779569248,0.8979202362780819,0.35581881888431943
